a_b	a_c	b_d	c_d
I like your place.	I like that place.	Everyone loves that place.	I go there all the time.
I like your shoes.	I love those shoes.	Those shoes are very dear.	Those are nice shoes.
You screwed it up.	You just messed up.	You guys messed up.	We've made a mistake.
I like your smile.	I really love your smile.	You have a nice smile.	You have a beautiful smile.
Sami ran upstairs.	Sami started going upstairs.	Sami is going back upstairs.	Sami went back upstairs.
Let's change that.	We've changed that.	It's time to change that.	We're just about to change that.
Sami looks scared.	Sami is clearly terrified.	Sami was so terrified about this.	Sami was really terrified.
I live in a hotel.	Do you really want to live in a hotel?	I cannot feel at home in such a hotel.	I don't think we should stay at this hotel.
Can you ice-skate?	Are you any good at ice skating?	How well can you skate?	You're a good skater, aren't you?
Tom made pancakes.	Tom made you pancakes.	Tom made me a cake.	Tom bought me chocolate.
Let's be tolerant.	You should be a little more tolerant.	Why don't we try to be more tolerant?	Why are you so tolerant?
He had nightmares.	She had nightmares.	I was having nightmares.	I had a horrible nightmare.
I like your style.	I like your method of working.	Your method is better.	Doing it this way is more efficient.
I don't need that.	That isn't something I need.	That's not something that we need.	That isn't what we need.
I love your place.	I love what you've done with the place.	This place is beautiful.	This is a really beautiful place, isn't it?
I don't need luck.	There's no such thing as luck.	Luck comes to those who look for it.	Luck is like a woman - it must be desired.
No running around.	I don't want to run.	I don't like jogging.	I don't like exercising.
I made you coffee.	I was given coffee for you.	The coffee was delicious; thank you.	The coffee was delicious.
Bob is a cool guy.	Tom is a pretty cool guy, isn't he?	Tom really is a nice person, isn't he?	Tom is a very nice person, isn't he?
I don't know when.	I can't tell you when that'll happen.	When do you see that happening?	Why do you think that that'll happen?
I don't have long.	You don't have much time.	I've got very little time.	I have very little time at my disposal.
My uncle hired me.	My uncle manages a firm.	My father has something to do with that firm.	My father holds the major interest in the corporation.
I don't have kids.	I have no children.	I haven't got my own children.	I still don't have any children.
How stupid I am...	I'm a complete idiot.	You must think I'm a complete idiot.	You must've thought I was an idiot.
I had to fire him.	I had to fire them.	I had to fire Tom.	I may have to fire Tom.
Can't we fire her?	Can't we fire him?	We can't just fire her.	We can't just fire Tom.
She's job hunting.	She's after a better job.	She says she wants to quit her job.	She said that she was going to quit.
I don't hate this.	I really hate this.	I hate to see people doing that.	It infuriates me when people do that.
I'm not dishonest.	I'm not always honest.	I'm usually quite frank.	It's difficult to always be honest.
I should call you.	I should have called you.	I should've called.	I really should have called.
Can't we fire him?	You can't fire him.	I don't have the authority to fire Tom.	Tom can't be fired.
I'm not in denial.	I'm not going to deny it.	Nobody can deny that.	No one can deny this fact.
I don't feel good.	I don't feel great.	I don't feel so well.	I'm not feeling too well.
Let's take a rest.	Let's have a little rest.	Shall we take a rest?	We need a little rest.
Tom is an advisor.	Tom is a financial adviser.	Tom trades securities.	Tom was a stock broker.
I had to fire her.	I may have to fire her.	Tell her she should present her immediate resignation.	She might get fired if she does that.
I can't fire them.	They can't fire me.	I can't imagine that they'll fire me for doing that.	I can't imagine I'll be fired for doing that.
Could you milk me?	Could I have a glass of milk?	Could you get me some milk?	Can you get me some milk?
I hate the desert.	I hate this weather.	I do not like the rain.	I'm sick of this rain.
Time is merciless.	Time must take its course.	Time is blind, man is stupid.	Time waits and time forgets.
I don't need help.	I really don't need help.	I don't want any help from you.	I don't really need your help.
Tom left me alone.	Tom completely ignored me.	Tom didn't talk to me.	Tom didn't even speak to me.
I don't live here.	We don't live here.	This person doesn't live here.	They are not living here.
Why must I suffer?	Haven't I suffered enough?	Why am I always the one who has to suffer?	Do you think that I'm to blame?
I hate the tundra.	What I hate about winter is the cold.	I can't stand the cold here.	I don't like being cold.
I made a bad call.	You made a mistake.	I made a terrible mistake.	I just made a terrible mistake.
I made a decision.	I've made a decision.	I took my decision.	I've made my choice.
I hate the forest.	The forest is its home.	This forest must be protected.	Our forests must be protected.
Sami needed money.	Sami wanted the money.	Sami was making money.	Sami wanted his money.
He has no enemies.	Tom has absolutely no enemies.	Tom isn't scared of anybody.	I'm not afraid of Tom at all.
This isn't my job.	That isn't your job.	This isn't my job!	That isn't really my job.
Did you find them?	Have you found them yet?	No. I have been looking for them for more than one hour.	Has anyone found them yet?
I don't like cops.	I hate cops like him.	My brother-in-law is a cop.	One of my sons is a police officer.
I don't like bugs.	You hate insects, don't you?	You know what I hate? I hate spiders.	I hate insects of all kinds.
Tom played tennis.	Tom is playing tennis.	Tom is holding a tennis racket.	Tom intends to play tennis.
I made some calls.	I had some calls to make, too.	I'm going to make some calls.	I had some calls to make.
Can I have a bite?	Do you feel like having a bite to eat?	Would you like to go grab a bite to eat?	Want to go grab a bite to eat?
We have five cats.	We have a cat and some dogs.	We have three children, three dogs and three cats.	We have a cat and three dogs.
I need my glasses.	I've lost my glasses.	Did you lose your glasses?	I lost my glasses.
Get me my glasses.	Give me my glasses, please.	I need my glasses.	I think I do need some glasses.
You wouldn't dare.	You wouldn't do that.	I don't think you would do that.	I don't think I would do that.
It was disturbing.	It was very upsetting.	I was really upset.	I was extremely angry.
What a total mess!	Never had I seen such a mess.	This place is in shambles.	This place is dire.
He made me a suit.	Tom made a suit for me.	He made me a new suit.	Tom bought a shirt for me.
What should I get?	I don't know what I should buy.	I didn't know what to buy.	I didn't know what Tom wanted me to buy.
What's down there?	What's going on down there?	What are you doing down there?	What were you doing down there?
This is not a hat.	That isn't your hat, is it?	Is that Tom's hat?	Is this hat Tom's?
When did it occur?	When did the incident occur?	Tell me about the incident.	I will tell of the incident.
When did it start?	When did it first start to happen?	When did this come about?	How did such a strange thing come about?
What a sweet deal!	That's a great deal.	It's not a bad deal.	It's a great deal.
Whose dog is this?	Who does the dog belong to?	Who let the dog in?	Could someone let the dog in?
Would you stop it?	Would you stop this nonsense?	Shouldn't we stop this?	Can we stop doing this now?
You won't miss it.	You're not going to want to miss this.	You cannot miss it.	I didn't think you'd want to miss this.
You would like it.	I told you that you'd like it.	I told you I'd think about it.	I said I'll think about it.
You're only human.	That's only natural.	It's supposed to be natural.	They say that they like to do that.
Sami is panicking.	Sami started to panic.	Sami had a panic attack.	Sami had panic attacks.
I have to get her.	I have to see her.	I've got to go meet her.	I have to see her now.
Sami was in tears.	Sami was bawling crying.	Sami burst in tears.	Sami started crying.
I have to get him.	I have to see him.	I've got to go meet him.	I have to see him now.
Why would I worry?	Why are you so worried?	Why were you so worried?	What are you so worried about?
Sami looked amess.	Sami looked kind of scary.	Sami looked so scared.	Sami was so scared.
What a bad looser!	He was rather careless to say the least.	He said that he'd been careless.	He made a careless mistake, as is often the case with him.
We've made a deal.	A deal has just been made.	An agreement acceptable to all parties was finally reached.	The negotiation was successful.
I owe Tom so much.	I owe Tom my life.	I do owe Tom a favor.	Tom owes me a favor or two.
We'll do the same.	We both will do that.	We're going to do that.	We're getting ready to do that.
I owe you a favor.	I'm doing you a favor.	I've already done you a favor.	I thought I was doing you a favor.
